ID	instant_temp	total_energy	total_potential	lambda	binding_energy
0	4.87074e+01	-1.46233e+04	-1.51908e+04	1.00000e+00	-3.50244e+01
1	5.24166e+01	-1.46235e+04	-1.52342e+04	1.00000e+00	-3.34768e+01
2	5.13948e+01	-1.46231e+04	-1.52219e+04	1.00000e+00	-3.48379e+01
3	4.95836e+01	-1.46233e+04	-1.52010e+04	1.00000e+00	-3.50318e+01
4	5.03832e+01	-1.46233e+04	-1.52103e+04	1.00000e+00	-3.46651e+01
5	5.01392e+01	-1.46244e+04	-1.52086e+04	1.00000e+00	-3.37912e+01
6	5.10020e+01	-1.46247e+04	-1.52189e+04	1.00000e+00	-3.50210e+01
7	5.23247e+01	-1.46243e+04	-1.52340e+04	1.00000e+00	-3.51042e+01
8	5.07809e+01	-1.46238e+04	-1.52155e+04	1.00000e+00	-3.50385e+01
9	5.09998e+01	-1.46243e+04	-1.52185e+04	1.00000e+00	-3.61614e+01
10	8.32858e+01	-1.38301e+04	-1.48005e+04	1.00000e+00	-3.43839e+01
11	8.64089e+01	-1.38301e+04	-1.48368e+04	1.00000e+00	-3.55657e+01
12	8.72616e+01	-1.38310e+04	-1.48476e+04	1.00000e+00	-3.46122e+01
13	8.49381e+01	-1.38303e+04	-1.48199e+04	1.00000e+00	-3.46350e+01
14	8.68423e+01	-1.38295e+04	-1.48413e+04	1.00000e+00	-3.37393e+01
15	8.47191e+01	-1.38286e+04	-1.48156e+04	1.00000e+00	-3.32969e+01
16	8.55627e+01	-1.38300e+04	-1.48269e+04	1.00000e+00	-3.38494e+01
17	8.72286e+01	-1.38305e+04	-1.48468e+04	1.00000e+00	-3.43266e+01
18	8.45786e+01	-1.38312e+04	-1.48166e+04	1.00000e+00	-3.30123e+01
19	9.42373e+01	-1.38311e+04	-1.49290e+04	1.00000e+00	-3.38770e+01
20	1.08577e+02	-1.32859e+04	-1.45509e+04	1.00000e+00	-3.23684e+01
21	1.12036e+02	-1.32854e+04	-1.45907e+04	1.00000e+00	-3.45985e+01
22	1.10957e+02	-1.32858e+04	-1.45785e+04	1.00000e+00	-3.31654e+01
23	1.09058e+02	-1.32856e+04	-1.45562e+04	1.00000e+00	-3.30848e+01
24	1.10677e+02	-1.32854e+04	-1.45749e+04	1.00000e+00	-3.78256e+01
25	1.09255e+02	-1.32854e+04	-1.45584e+04	1.00000e+00	-3.61383e+01
26	1.10363e+02	-1.32861e+04	-1.45720e+04	1.00000e+00	-3.68509e+01
27	1.09170e+02	-1.32860e+04	-1.45579e+04	1.00000e+00	-3.59206e+01
28	1.08656e+02	-1.32862e+04	-1.45521e+04	1.00000e+00	-3.86193e+01
29	1.19014e+02	-1.32850e+04	-1.46716e+04	1.00000e+00	-3.89535e+01
30	1.29326e+02	-1.27911e+04	-1.42979e+04	1.00000e+00	-3.76599e+01
31	1.31924e+02	-1.27913e+04	-1.43284e+04	1.00000e+00	-3.79268e+01
32	1.31025e+02	-1.27910e+04	-1.43176e+04	1.00000e+00	-3.89729e+01
33	1.28756e+02	-1.27901e+04	-1.42902e+04	1.00000e+00	-3.65611e+01
34	1.28743e+02	-1.27908e+04	-1.42908e+04	1.00000e+00	-3.67100e+01
35	1.26986e+02	-1.27912e+04	-1.42707e+04	1.00000e+00	-3.36019e+01
36	1.28342e+02	-1.27913e+04	-1.42866e+04	1.00000e+00	-3.39878e+01
37	1.31476e+02	-1.27916e+04	-1.43234e+04	1.00000e+00	-3.34415e+01
38	1.29843e+02	-1.27917e+04	-1.43045e+04	1.00000e+00	-3.45704e+01
39	1.38374e+02	-1.27916e+04	-1.44037e+04	1.00000e+00	-3.90351e+01
40	1.52501e+02	-1.22929e+04	-1.40696e+04	1.00000e+00	-3.27214e+01
41	1.51581e+02	-1.22914e+04	-1.40575e+04	1.00000e+00	-3.42097e+01
42	1.53011e+02	-1.22900e+04	-1.40727e+04	1.00000e+00	-3.24561e+01
43	1.51487e+02	-1.22916e+04	-1.40566e+04	1.00000e+00	-3.26317e+01
44	1.53099e+02	-1.22914e+04	-1.40752e+04	1.00000e+00	-3.47078e+01
45	1.51295e+02	-1.22911e+04	-1.40538e+04	1.00000e+00	-3.77596e+01
46	1.52933e+02	-1.22918e+04	-1.40736e+04	1.00000e+00	-3.67490e+01
47	1.51410e+02	-1.22917e+04	-1.40558e+04	1.00000e+00	-3.83580e+01
48	1.54060e+02	-1.22919e+04	-1.40869e+04	1.00000e+00	-3.41928e+01
49	1.58624e+02	-1.22915e+04	-1.41397e+04	1.00000e+00	-3.53728e+01
50	1.73717e+02	-1.17923e+04	-1.38162e+04	1.00000e+00	-3.32145e+01
51	1.73849e+02	-1.17932e+04	-1.38187e+04	1.00000e+00	-3.76369e+01
52	1.74355e+02	-1.17930e+04	-1.38244e+04	1.00000e+00	-3.57493e+01
53	1.72844e+02	-1.17920e+04	-1.38058e+04	1.00000e+00	-3.50756e+01
54	1.71300e+02	-1.17933e+04	-1.37891e+04	1.00000e+00	-3.55557e+01
55	1.74370e+02	-1.17941e+04	-1.38257e+04	1.00000e+00	-3.58438e+01
56	1.69781e+02	-1.17949e+04	-1.37730e+04	1.00000e+00	-3.24316e+01
57	1.73526e+02	-1.17935e+04	-1.38152e+04	1.00000e+00	-3.09388e+01
58	1.72034e+02	-1.17931e+04	-1.37974e+04	1.00000e+00	-3.14865e+01
59	1.82465e+02	-1.17938e+04	-1.39197e+04	1.00000e+00	-3.58766e+01
60	1.88503e+02	-1.13887e+04	-1.35850e+04	1.00000e+00	-3.26735e+01
61	1.93481e+02	-1.13906e+04	-1.36448e+04	1.00000e+00	-2.92051e+01
62	1.89676e+02	-1.13900e+04	-1.35998e+04	1.00000e+00	-3.16945e+01
63	1.86404e+02	-1.13898e+04	-1.35616e+04	1.00000e+00	-3.43587e+01
64	1.89207e+02	-1.13893e+04	-1.35937e+04	1.00000e+00	-3.38756e+01
65	1.90332e+02	-1.13893e+04	-1.36069e+04	1.00000e+00	-3.03937e+01
66	1.92098e+02	-1.13892e+04	-1.36273e+04	1.00000e+00	-3.01787e+01
67	1.91625e+02	-1.13900e+04	-1.36226e+04	1.00000e+00	-3.20994e+01
68	1.91365e+02	-1.13894e+04	-1.36190e+04	1.00000e+00	-2.89517e+01
69	1.96514e+02	-1.13894e+04	-1.36790e+04	1.00000e+00	-3.18198e+01
70	2.17442e+02	-1.08245e+04	-1.33579e+04	1.00000e+00	-2.88436e+01
